1,43
1,174
1,181
2,32
2,33
2,37
2,74
2,76
2,83
2,92
2,112
2,113
2,190
3,26
3,72
3,104
3,124
3,146
3,156
3,187
3,192
3,208
3,222
3,226
4,64
4,143
4,168
5,69
5,144
5,150
5,197
5,206
6,28
6,42
6,81
6,117
6,160
6,230
6,235
7,40
7,55
7,86
7,121
7,129
7,140
7,149
7,173
7,203
8,148
8,154
8,171
8,223
8,234
8,239
9,87
9,165
9,219
10,38
10,136
11,6
11,7
11,20
11,29
11,30
11,35
11,41
11,46
11,47
11,62
11,82
11,90
11,120
11,139
11,167
11,176
11,183
11,184
11,186
11,193
11,198
11,200
11,214
11,221
11,227
11,240
12,14
12,24
12,39
12,66
12,122
12,128
12,179
13,45
13,114
13,215
14,185
14,194
14,229
15,15
15,102
15,125
15,134
15,158
15,209
16,68
16,119
16,162
17,85
17,159
18,70
18,93
18,106
18,127
18,164
18,189
18,213
19,10
19,25
19,110
19,191
19,233
20,3
20,4
20,5
20,12
20,48
20,79
20,94
20,96
20,105
20,109
20,130
20,141
20,152
20,177
20,178
20,180
20,201
20,202
20,207
20,216
20,224
22,231
22,232
23,8
23,50
23,65
24,101
24,145
24,157
24,199
25,27
26,13
26,80
26,116
26,142
26,155
26,228
27,4
27,11
27,19
27,23
27,60
27,75
27,88
27,98
27,100
27,107
27,133
27,135
27,138
27,161
27,163
27,169
27,175
27,204
27,210
27,236
27,237
32,1
32,2
32,16
32,17
32,18
32,21
32,22
32,31
32,34
32,36
32,49
32,54
32,57
32,58
32,61
32,63
32,71
32,77
32,78
32,84
32,95
32,97
32,111
32,123
32,132
32,137
32,153
32,172
32,195
32,205
32,217
32,218
32,225
32,238
32,241
32,244
37,9
37,52
37,56
37,99
37,101
37,108
37,147
37,151
37,166
37,243
